Welcome to Yade 2020.01a 
Using python version: 3.8.10 (default, Mar 13 2023, 10:26:41) 
[GCC 9.4.0]
Warning: no X rendering available (see https://bbs.archlinux.org/viewtopic.php?id=13189)
XMLRPC info provider on http://localhost:21004
nbSpheres= 9976.0  | Rmean= 0.031127148105453077  | Rmax/Rmin= 1.9973438683632665
K= 12.75541299117883
ISOTROPIC CONFINEMENT!
unbalanced force: 1.9042909831628012  mean stress:  6.68881271399529
unbalanced force: 2.184943989058058  mean stress:  202.88525541198388
unbalanced force: 1.5409776497485879  mean stress:  6.697092541597638
unbalanced force: 1.9131343389812183  mean stress:  6.698118921451602
unbalanced force: 2.1859368555408065  mean stress:  202.82389444541082
unbalanced force: 1.5249853995785678  mean stress:  6.694796063949824
unbalanced force: 1.9058779782956627  mean stress:  6.6869433924860315
unbalanced force: 2.1885750357855147  mean stress:  203.21986591125207
unbalanced force: 1.5327732091146486  mean stress:  6.703121823431185
unbalanced force: 1.9008170451251392  mean stress:  6.697068135036385
unbalanced force: 2.1704985905478416  mean stress:  202.96042280045071
unbalanced force: 1.5236932019183036  mean stress:  6.6925132454536564
unbalanced force: 1.9113615728186268  mean stress:  6.673639043733577
unbalanced force: 2.19588817965061  mean stress:  203.21079521582485
unbalanced force: 1.5342247104231095  mean stress:  6.707264348105885
unbalanced force: 1.9104302661429868  mean stress:  6.693433053062324
unbalanced force: 2.1974948923668056  mean stress:  202.83391601038343
unbalanced force: 1.5261247622790248  mean stress:  6.6946378245515925
unbalanced force: 1.893779688639567  mean stress:  6.691586674220633
unbalanced force: 2.1991871944835726  mean stress:  202.9156645209791
unbalanced force: 1.5288475773975643  mean stress:  6.707954757508333
unbalanced force: 1.9080296403320425  mean stress:  6.70476353449155
unbalanced force: 2.1849196090425034  mean stress:  203.01519844410052
unbalanced force: 1.5259618276841673  mean stress:  6.6984473138360485
unbalanced force: 1.9145577160219447  mean stress:  6.680138195548992
unbalanced force: 2.1840788407119756  mean stress:  203.06590305183144
unbalanced force: 1.5327824271712671  mean stress:  6.695004883356392
unbalanced force: 1.907682598981909  mean stress:  6.696444941458928
unbalanced force: 2.1837268282139983  mean stress:  202.89680354878985
unbalanced force: 1.5297259702022692  mean stress:  6.703685801216356
unbalanced force: 1.9071697866866455  mean stress:  6.688384955976559
unbalanced force: 2.1901070726882934  mean stress:  202.91281750801878
unbalanced force: 1.5364461153923583  mean stress:  6.71115322014145
unbalanced force: 1.9175972071256129  mean stress:  6.697842678386071
unbalanced force: 2.1727132937623526  mean stress:  202.8474418836455
unbalanced force: 1.5348033357909152  mean stress:  6.682548796515495
unbalanced force: 1.9152321010682847  mean stress:  6.674649686595662
unbalanced force: 2.1866382836849843  mean stress:  203.190205628568
unbalanced force: 1.5311689442378134  mean stress:  6.7009133578422535
unbalanced force: 1.9083401982897394  mean stress:  6.689776828642917
unbalanced force: 2.197968876792245  mean stress:  203.30443197498676
unbalanced force: 1.5310334011556799  mean stress:  6.705494695759889
unbalanced force: 1.910916303281909  mean stress:  6.692708824102208
unbalanced force: 2.1809781846444873  mean stress:  203.06606110272253
unbalanced force: 1.5364677877881903  mean stress:  6.703005747572926
unbalanced force: 1.9175930920336164  mean stress:  6.691813288338923
unbalanced force: 2.183093429846244  mean stress:  203.00202811782972
unbalanced force: 1.5240369124710609  mean stress:  6.69246398872934
unbalanced force: 1.910448040083422  mean stress:  6.678278509317184
unbalanced force: 2.1882273375006784  mean stress:  202.9893788395599
unbalanced force: 1.5220354836717198  mean stress:  6.698088604428065
unbalanced force: 1.8989587913597552  mean stress:  6.692425009937317
unbalanced force: 2.171497591425918  mean stress:  203.04767134570787
unbalanced force: 1.5344199485820265  mean stress:  6.701393300583427
unbalanced force: 1.9216233984444462  mean stress:  6.697604098431719
unbalanced force: 2.18217287247965  mean stress:  203.0408074179703
unbalanced force: 1.5294357999683317  mean stress:  6.692680224556741
unbalanced force: 1.9088712057342638  mean stress:  6.697961306231868
unbalanced force: 2.199868977079309  mean stress:  202.92207163603976
unbalanced force: 1.5286158633398033  mean stress:  6.7143626031667445
unbalanced force: 1.9117191110314324  mean stress:  6.678248689725681
unbalanced force: 2.1884608081584886  mean stress:  203.08632513172947
unbalanced force: 1.5355698762689893  mean stress:  6.697905281134332
unbalanced force: 1.923642596938271  mean stress:  6.68394070321924
unbalanced force: 2.194308541080537  mean stress:  203.058414822145
unbalanced force: 1.5309154082062864  mean stress:  6.70400050653696
unbalanced force: 1.9076248457911378  mean stress:  6.6970257136344715
unbalanced force: 2.1848928065763364  mean stress:  203.04700856583153
unbalanced force: 1.527932904381184  mean stress:  6.694668946213682
unbalanced force: 1.9037028656523458  mean stress:  6.702723541217099
unbalanced force: 2.1906788079399004  mean stress:  202.95118511636738
unbalanced force: 1.532104487792383  mean stress:  6.702875063897406
unbalanced force: 1.917743726661127  mean stress:  6.694323755395021
unbalanced force: 2.1998969159819954  mean stress:  203.06605087655885
unbalanced force: 1.5323783117814231  mean stress:  6.697284049506822
unbalanced force: 1.924897299946811  mean stress:  6.691351108803829
unbalanced force: 2.17849752439977  mean stress:  203.04871249200747
unbalanced force: 1.5306096868757142  mean stress:  6.710436973112934
unbalanced force: 1.9111923886557758  mean stress:  6.689506617407361
unbalanced force: 2.1792785513931543  mean stress:  203.00108809936907
unbalanced force: 1.53218492992153  mean stress:  6.709183277051129
unbalanced force: 1.917168878410885  mean stress:  6.683887441797186
unbalanced force: 2.1895361780235496  mean stress:  203.1641318556884
unbalanced force: 1.538221438620539  mean stress:  6.699705673656695
unbalanced force: 1.9133106936279891  mean stress:  6.6719684484465605
unbalanced force: 2.1934262748843123  mean stress:  203.08760909245925
unbalanced force: 1.5390652936170266  mean stress:  6.717381286840369
unbalanced force: 1.8955854913456627  mean stress:  6.677949140472216
unbalanced force: 2.1737720949351904  mean stress:  202.93409687058252
unbalanced force: 1.5314331618954031  mean stress:  6.703808589780006
unbalanced force: 1.9070462232198493  mean stress:  6.678278462010347
unbalanced force: 2.1852853331139106  mean stress:  203.17916063861983
unbalanced force: 1.528568508234173  mean stress:  6.701624599168231
unbalanced force: 1.9107007189202294  mean stress:  6.686916254818875
unbalanced force: 2.190206610815492  mean stress:  202.9544989690353
unbalanced force: 1.5258483557961295  mean stress:  6.695236688768657
unbalanced force: 1.9098110586365158  mean stress:  6.686473918651962
unbalanced force: 2.169145115252144  mean stress:  202.68356910302762
unbalanced force: 1.5352706614893454  mean stress:  6.700000952066557
unbalanced force: 1.9115524587783936  mean stress:  6.690693740215683
unbalanced force: 2.18788113826937  mean stress:  203.21038284069678
unbalanced force: 1.5404908128752117  mean stress:  6.7175468245933905
unbalanced force: 1.911371417074888  mean stress:  6.676125864373167
unbalanced force: 2.1879666074113535  mean stress:  203.15920212525307
unbalanced force: 1.5335972140447904  mean stress:  6.7079813957771846
unbalanced force: 1.9081992175071767  mean stress:  6.694210462954647
unbalanced force: 2.183374770529029  mean stress:  203.10652740471235
